Pf3D7_01_v3	98866	0.279221	0.380805	0.0334662
Pf3D7_01_v3	124868	0.12987	0.0703593	0.0258832
Pf3D7_01_v3	130339	0.785714	0.711246	0.0176648
Pf3D7_01_v3	137258	0.84058	0.773038	0.0161102
Pf3D7_01_v3	138823	0.363636	0.306667	0.00475394
Pf3D7_01_v3	141594	0.0454545	0.107784	0.0378405
Pf3D7_01_v3	145560	0.440789	0.344311	0.0259057
Pf3D7_01_v3	145682	0.414474	0.483434	0.00953903
Pf3D7_01_v3	155877	0.664474	0.734472	0.0121769
Pf3D7_01_v3	155895	0.636364	0.728125	0.0241865
Pf3D7_01_v3	155939	0.631579	0.734277	0.0318056
Pf3D7_01_v3	155977	0.649351	0.74127	0.0246246
Pf3D7_01_v3	155978	0.649351	0.74127	0.0246246
Pf3D7_01_v3	158952	0.0394737	0.101796	0.0414085
Pf3D7_01_v3	161865	0.36	0.267267	0.026342
Pf3D7_01_v3	161885	0.707792	0.758308	0.00448615
Pf3D7_01_v3	162981	0.636364	0.723054	0.0217596
Pf3D7_01_v3	163145	0.428571	0.534743	0.0301683
Pf3D7_01_v3	165214	0.418919	0.46997	0.00214905
Pf3D7_01_v3	165588	0.555556	0.675758	0.0435783
Pf3D7_01_v3	178094	0.424242	0.325228	0.0293186
Pf3D7_01_v3	179265	0.335616	0.437908	0.0279803
Pf3D7_01_v3	179952	0.37013	0.283784	0.0193689
Pf3D7_01_v3	180299	0.581081	0.654237	0.0110299
Pf3D7_01_v3	180309	0.398649	0.466102	0.00765227
Pf3D7_01_v3	180311	0.506849	0.585324	0.012823
Pf3D7_01_v3	180328	0.201299	0.134106	0.0182862
Pf3D7_01_v3	190739	0.292208	0.36976	0.0155538
Pf3D7_01_v3	207736	0.266234	0.211409	0.0064118
Pf3D7_01_v3	238688	0.657534	0.732733	0.0158524
Pf3D7_01_v3	239972	0.727273	0.644531	0.0155041
Pf3D7_01_v3	266480	0.590909	0.532028	0.00375652
Pf3D7_01_v3	267467	0.227273	0.158582	0.0152604
Pf3D7_01_v3	267883	0.162338	0.0975177	0.0207627
Pf3D7_01_v3	275799	0	0.0735736	0.10934
Pf3D7_01_v3	276845	0.954545	0.904192	0.0247878
Pf3D7_01_v3	281975	0.266234	0.361842	0.0209787
Pf3D7_01_v3	309042	0.201299	0.151198	0.00767604
Pf3D7_01_v3	332415	0.168831	0.0555556	0.0927185
Pf3D7_01_v3	349536	0.00724638	0.183871	0.244697
Pf3D7_01_v3	374504	0.393333	0.510542	0.0385203
Pf3D7_01_v3	487057	0.435065	0.525602	0.0203316
Pf3D7_01_v3	495649	0.532468	0.435435	0.0242354
Pf3D7_01_v3	495747	0.38961	0.301515	0.0212714
Pf3D7_01_v3	496805	0.227273	0.177083	0.00491572
Pf3D7_01_v3	496885	0.363636	0.416318	0.00219146
Pf3D7_01_v3	496887	0.363636	0.420502	0.0034719
Pf3D7_01_v3	498090	0.688312	0.598712	0.0164993
Pf3D7_01_v3	499500	0.223684	0.280992	0.00500202
Pf3D7_01_v3	499969	0.532468	0.634409	0.0247532
Pf3D7_01_v3	501176	0.168831	0.102761	0.0233317
Pf3D7_01_v3	501515	0.383117	0.465046	0.0161125
Pf3D7_01_v3	528069	0.480519	0.407166	0.0106054
Pf3D7_01_v3	528580	0.188312	0.132979	0.0104157
Pf3D7_01_v3	534777	0.125	0.293814	0.125693
Pf3D7_01_v3	534856	0.277778	0.337134	0.0066786
Pf3D7_01_v3	535884	0.434211	0.519637	0.0174386
Pf3D7_01_v3	536003	0.493506	0.442598	0.00220498
Pf3D7_01_v3	536106	0.194805	0.287234	0.0311656
Pf3D7_01_v3	536113	0.701299	0.804217	0.0390602
Pf3D7_01_v3	536150	0.155844	0.289394	0.0738615
Pf3D7_01_v3	536302	0.0723684	0.131024	0.0244019
Pf3D7_01_v3	537147	0.38961	0.457958	0.00905724
Pf3D7_01_v3	558242	0.0855263	0.165653	0.0403995
Pf3D7_01_v3	558245	0.253425	0.332317	0.0183717
Pf3D7_01_v3	558256	0.232877	0.304878	0.0154528
